"","MDS1","MDS2"
"Site1",0.255410331290803,0.13279935017114
"Site2",0.427432607423309,0.0337049341683857
"Site3",0.220152325787281,0.186387305420669
"Site4",0.0467645261040384,-0.348101833280019
"Site5",0.333525339598522,-0.0916085346549318
"Site6",-0.0119473300060628,0.000518076824363674
"Site7",-0.58314093572177,-0.402088739139097
"Site8",-0.373385118974061,0.244636843149327
"Site9",0.0378162048521524,-0.276801884458822
"Site10",-0.233630343000084,-0.109976062683085
"Site11",-0.543796390315067,0.283380092813178
"Site12",0.468346604008368,0.207863782301599
"Site13",0.209785977912895,-0.283075544290187
"Site14",0.128466125229123,0.453512769376663
"Site15",0.0514100749792952,-0.114907888038275
"Site16",0.440076376300076,-0.193231779148352
"Site17",-0.209796481819672,0.328485992363037
"Site18",-0.354134969722214,-0.0517485596521607
"Site19",-0.18616687196264,0.022850662168138
"Site20",-0.123188051964289,-0.0225989834115697
