"","MDS1","MDS2","MDS3"
"Site1",0.254475612650623,-0.144201118597301,-0.162447534248017
"Site2",0.50402384068135,0.00764036489584705,-0.109469708726546
"Site3",0.27619861134431,0.165962365601781,-0.27278092240987
"Site4",0.0994975586443241,0.226968521515449,0.362677057389748
"Site5",0.354621019456854,-0.102103428369798,0.125420311998067
"Site6",-0.0221074379266629,0.0153181548232756,-0.0323519219300932
"Site7",-0.548818543228444,0.522332126466698,-0.0686742384287964
"Site8",-0.378462843496011,-0.311899572390077,-0.23930751364536
"Site9",0.0907497671630703,0.290898486631473,0.194482438734348
"Site10",-0.261938565896879,-0.00201693604532142,0.212249240265204
"Site11",-0.57984492492002,-0.344422407366477,0.0780702557411074
"Site12",0.347675511663903,-0.432515596963714,-0.0935928975563673
"Site13",0.299046816731791,0.297705183533045,0.15407663164033
"Site14",0.0785567290437864,0.10369252708443,-0.557845230149212
"Site15",0.0849508899356544,0.212225527032072,0.00363187676713943
"Site16",0.417574657940009,-0.193268475273448,0.260828066696873
"Site17",-0.225299231111508,-0.39205868682867,0.189456672277434
"Site18",-0.414280516180344,0.0739835720299897,-0.0185531053572938
"Site19",-0.202771337799886,-0.0743962445318426,0.100295044405725
"Site20",-0.173847614695919,0.0801556367525892,-0.126164523464421
